city,system:index,building_count,std_dev_area,total_area,geometry,population_density,temperature_anomaly,greenness
Sao-Paulo,53,46561,315.31535721522664,4439845.182731848,"POLYGON ((-46.65000000000001 -23.749999999999996, -46.600000000000016 -23.749999999999996, -46.60000000000001 -23.699999999999996, -46.65000000000001 -23.7, -46.65000000000001 -23.749999999999996))",8859.015198131403,-0.93490624,0.18811597
Sao-Paulo,54,85814,221.37516160983685,8503215.154055426,"POLYGON ((-46.65000000000001 -23.7, -46.60000000000001 -23.699999999999996, -46.60000000000001 -23.649999999999995, -46.65000000000001 -23.649999999999995, -46.65000000000001 -23.7))",16486.242979516788,-1.1533424,0.15417221
Sao-Paulo,55,79663,188.37076022981591,8867672.824286861,"POLYGON ((-46.65000000000001 -23.649999999999995, -46.60000000000001 -23.649999999999995, -46.600000000000016 -23.599999999999994, -46.65000000000001 -23.599999999999994, -46.65000000000001 -23.649999999999995))",14159.41963736865,-1.2625161,0.15017319
Sao-Paulo,56,56266,333.54063457077666,9011282.971566971,"POLYGON ((-46.65000000000001 -23.599999999999994, -46.600000000000016 -23.599999999999994, -46.60000000000001 -23.549999999999994, -46.65000000000002 -23.549999999999997, -46.65000000000001 -23.599999999999994))",13948.629190250318,-1.3716899,0.14617416
Sao-Paulo,57,40373,494.0533662365111,8966834.55642841,"POLYGON ((-46.65000000000002 -23.549999999999997, -46.60000000000001 -23.549999999999994, -46.6 -23.499999999999993, -46.65000000000001 -23.499999999999996, -46.65000000000002 -23.549999999999997))",9377.105657460736,-1.4833068,0.13479671
Sao-Paulo,58,74430,158.49541647790832,8330710.905023212,"POLYGON ((-46.65000000000001 -23.499999999999996, -46.6 -23.499999999999993, -46.60000000000001 -23.449999999999992, -46.65000000000002 -23.449999999999992, -46.65000000000001 -23.499999999999996))",11294.658240649163,-1.5428225,0.2891866
Sao-Paulo,59,5009,206.1984768730866,575512.4239977296,"POLYGON ((-46.65000000000002 -23.449999999999992, -46.60000000000001 -23.449999999999992, -46.60000000000001 -23.399999999999988, -46.65000000000002 -23.399999999999988, -46.65000000000002 -23.449999999999992))",718.1744269926329,-1.4908047,0.41529512
Sao-Paulo,60,215,96.69163187172884,26206.37694168091,"POLYGON ((-46.60000000000001 -23.9, -46.55000000000001 -23.9, -46.55000000000001 -23.849999999999994, -46.60000000000001 -23.849999999999998, -46.60000000000001 -23.9))",133.42789697987692,-0.7449256,0.2797533
Sao-Paulo,61,2563,98.00737950689694,268309.0419414879,"POLYGON ((-46.60000000000001 -23.849999999999998, -46.55000000000001 -23.849999999999994, -46.55000000000001 -23.799999999999994, -46.60000000000001 -23.799999999999994, -46.60000000000001 -23.849999999999998))",236.05481763518583,-0.66177595,0.2664236
Sao-Paulo,62,10368,421.7884689859386,1260229.1904960824,"POLYGON ((-46.60000000000001 -23.799999999999994, -46.55000000000001 -23.799999999999994, -46.55000000000001 -23.749999999999993, -46.600000000000016 -23.749999999999996, -46.60000000000001 -23.799999999999994))",1701.4667782925678,-0.6230225,0.2160339
Sao-Paulo,63,57394,552.5880510772286,8078933.894218535,"POLYGON ((-46.600000000000016 -23.749999999999996, -46.55000000000001 -23.749999999999993, -46.55000000000001 -23.7, -46.60000000000001 -23.699999999999996, -46.600000000000016 -23.749999999999996))",9646.678780458413,-1.0058072,0.17302316
Sao-Paulo,64,61684,563.420630649289,9202660.32549931,"POLYGON ((-46.60000000000001 -23.699999999999996, -46.55000000000001 -23.7, -46.55000000000001 -23.65, -46.60000000000001 -23.649999999999995, -46.60000000000001 -23.699999999999996))",10173.738452522122,-1.1775951,0.1395023
Sao-Paulo,65,77667,308.59213243477257,9747425.946668249,"POLYGON ((-46.60000000000001 -23.649999999999995, -46.55000000000001 -23.65, -46.55000000000001 -23.599999999999994, -46.600000000000016 -23.599999999999994, -46.60000000000001 -23.649999999999995))",11536.903629225128,-1.2634311,0.131826
Sao-Paulo,66,81043,312.11318960737316,10221284.451655889,"POLYGON ((-46.600000000000016 -23.599999999999994, -46.55000000000001 -23.599999999999994, -46.550000000000004 -23.549999999999994, -46.60000000000001 -23.549999999999994, -46.600000000000016 -23.599999999999994))",11248.749990035076,-1.349267,0.12414969
Sao-Paulo,67,58389,416.2068779948863,8907952.323685544,"POLYGON ((-46.60000000000001 -23.549999999999994, -46.550000000000004 -23.549999999999994, -46.55000000000001 -23.499999999999993, -46.6 -23.499999999999993, -46.60000000000001 -23.549999999999994))",9713.3837566765,-1.5039252,0.12654892
Sao-Paulo,68,102496,222.77457516582828,10602721.769492803,"POLYGON ((-46.6 -23.499999999999993, -46.55000000000001 -23.499999999999993, -46.55000000000001 -23.449999999999992, -46.60000000000001 -23.449999999999992, -46.6 -23.499999999999993))",14378.136781030773,-1.4918933,0.24723777
Sao-Paulo,69,41842,213.7689151382462,4267513.45698177,"POLYGON ((-46.60000000000001 -23.449999999999992, -46.55000000000001 -23.449999999999992, -46.55000000000001 -23.399999999999988, -46.60000000000001 -23.399999999999988, -46.60000000000001 -23.449999999999992))",5804.812291888558,-1.4283742,0.3849776
Sao-Paulo,70,28,258.5610404364548,3659.9886145591736,"POLYGON ((-46.55000000000001 -23.9, -46.50000000000002 -23.9, -46.50000000000003 -23.849999999999998, -46.55000000000001 -23.849999999999994, -46.55000000000001 -23.9))",39.14782614707947,-0.73307097,0.27419275
Sao-Paulo,71,930,66.14825726137427,91321.79288482666,"POLYGON ((-46.55000000000001 -23.849999999999994, -46.50000000000003 -23.849999999999998, -46.50000000000002 -23.799999999999997, -46.55000000000001 -23.799999999999994, -46.55000000000001 -23.849999999999994))",199.67176446622733,-0.6735758,0.2212937
Sao-Paulo,72,9261,140.2755526998329,933757.6683448928,"POLYGON ((-46.55000000000001 -23.799999999999994, -46.50000000000002 -23.799999999999997, -46.50000000000002 -23.749999999999996, -46.55000000000001 -23.749999999999993, -46.55000000000001 -23.799999999999994))",1300.6703199926687,-0.6372939,0.2289675
Sao-Paulo,73,54165,289.2712354325071,5397228.368926989,"POLYGON ((-46.55000000000001 -23.749999999999993, -46.50000000000002 -23.749999999999996, -46.50000000000002 -23.7, -46.55000000000001 -23.7, -46.55000000000001 -23.749999999999993))",10452.088895813544,-0.9380338,0.16478072
Sao-Paulo,74,65881,393.1773764876875,8402647.25373536,"POLYGON ((-46.55000000000001 -23.7, -46.50000000000002 -23.7, -46.50000000000002 -23.649999999999995, -46.55000000000001 -23.65, -46.55000000000001 -23.7))",9744.626248106664,-1.0204197,0.15320466
